smoothness,grad_norm,smoothness_exact,grad_norm_exact
3.2509654,0.29051837,2.0377116,0.25439677
2.9589672,0.19021416,1.2913363,0.165134
3.5304933,0.16949964,1.2770898,0.13188925
3.8882327,0.15248045,1.2933671,0.11280284
3.297648,0.13411987,1.3841181,0.106547415
3.683417,0.09734744,1.3900975,0.08760234
3.2526872,0.11846189,1.2392737,0.10680626
3.4739542,0.13682981,1.4290024,0.10371086
2.905521,0.11842104,1.202002,0.09935826
2.9103017,0.12632684,1.7530314,0.11403254
2.8890095,0.12570637,1.5735472,0.113179274
3.0556376,0.1387102,1.396527,0.12971509
2.9685411,0.178878,1.5885158,0.15184154
3.86934,0.16377431,1.7096231,0.15180814
3.4839957,0.16778207,3.5735655,0.16148233
6.5245786,0.30759594,6.7263436,0.31356734
6.724029,0.42455974,6.9280567,0.44117862
8.799878,0.6502001,9.043569,0.63833976
3.2618763,0.38756898,3.2522612,0.36369756
6.7825384,0.33157536,7.464462,0.30572537
11.195294,1.0681494,10.962776,0.9892887
5.2092743,0.27989873,4.5514703,0.2974261
5.556335,0.38694638,5.0271597,0.38940647
8.397223,0.41873905,8.340528,0.42084318
8.030144,0.54719466,8.646439,0.5206879
10.7259245,0.7829701,11.308421,0.944502
5.365347,0.35434207,4.9118266,0.3446752
7.410053,0.58629316,7.2197556,0.5617496
12.680539,1.3132454,12.60448,1.2906134
4.916101,0.36153468,5.1287794,0.34093866
4.720589,0.58915484,4.7004647,0.5991159
11.065883,0.9682818,11.042122,0.90782136
3.142821,0.6329023,3.2252882,0.6097327
4.430656,0.44938275,3.584843,0.46415517
2.8238454,0.31930596,1.9986769,0.28402305
3.242207,0.30680275,1.4310417,0.28910887
8.746024,0.4074533,9.139593,0.2985839
17.355206,1.1164981,17.8542,1.1418991
3.6921072,0.3089166,3.550043,0.287693
7.724125,0.4799119,7.507467,0.4974475
18.44465,0.34184054,19.39836,0.31796512
22.08284,2.955634,22.425869,3.0096483
4.5919147,0.3157589,4.2725587,0.31020802
3.873713,0.52564645,4.114526,0.566614
10.760248,0.6199753,10.88921,0.6531198
19.38388,2.7008216,19.42685,2.7527037
4.741859,0.5436579,4.283078,0.515099
5.845763,0.7699399,5.6239295,0.7508121
12.580926,1.3121027,12.449477,1.3133572
3.284706,0.5478932,3.153772,0.57163733
4.60889,0.6181083,4.4967227,0.6352547
12.248585,1.1315873,11.721864,1.0172702
9.797125,0.917875,10.055572,0.85161686
17.137722,2.3903115,16.841326,2.274684
3.4334219,0.6803008,3.2163823,0.6749126
6.166049,0.59429604,5.896111,0.6006268
14.031017,1.6782693,14.348,1.7175407
3.559567,0.7675123,3.7594454,0.764886
8.518265,0.7955728,8.982167,0.8492762
10.532071,0.5636327,9.543198,0.6526982
17.049086,2.359674,16.5848,2.2445874
3.2841494,0.83370125,3.123193,0.83915585
4.714263,0.4489108,3.8966892,0.44510418
5.207915,0.4296275,4.372799,0.42079908
11.809188,0.7374912,12.1953125,0.7869755
3.6640542,1.0525028,3.5664525,1.0332661
5.9986043,0.422184,5.3394,0.41074318
11.233589,0.37599295,10.533263,0.42353672
16.413519,1.7189322,16.439203,1.7126217
3.5361292,0.9958767,3.400166,0.95268726
3.8025942,0.38844147,2.832957,0.40363118
13.430447,0.6348053,12.47333,0.6035195
16.048618,1.7990888,16.475428,1.9169525
4.01683,0.91272455,4.1503973,0.94388705
8.2243,0.6687114,8.3315935,0.7071099
8.129479,1.0087615,7.678412,0.9649647
17.067183,2.3285382,17.30649,2.4499564
4.219128,0.97048026,3.8187006,0.9676357
4.5647917,0.5212285,4.598353,0.5246145
